type,subtype,updated_type,updated_subtype,updated_subsubtype,binned_latitude,binned_longitude,alert_count
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.99,-87.65,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,42.0,-87.82,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,42.0,-87.81,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,42.0,-87.67,5
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,On_road,Emergency_vehicle,41.81,-87.6,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.73,-87.67,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.88,-87.63,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.88,-87.62,5
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Hazard,On_road,Construction,41.99,-87.82,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.93,-87.66,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.93,-87.64,5
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.84,-87.6,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.82,-87.64,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.77,-87.68,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.8,-87.65,5
HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,Hazard,On_road,Lane_closed,41.87,-87.62,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.98,-87.68,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.99,-87.73,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.72,-87.68,5
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.89,-87.77,5
HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,Hazard,On_road,Lane_closed,41.76,-87.72,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.77,-87.66,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.82,-87.62,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.83,-87.7,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.66,-87.61,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.79,-87.61,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.8,-87.68,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.8,-87.61,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.8,-87.71,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.71,-87.57,5
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.89,-87.68,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.72,-87.6,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.72,-87.56,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.73,-87.68,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.78,-87.71,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.78,-87.65,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.77,-87.65,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.81,-87.75,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.84,-87.69,5
